state,2021_participation,2021_score
Alabama,3%,1159
Alaska,23%,1119
Arizona,11%,1181
Arkansas,2%,1194
California,24%,1057
Colorado,56%,1072
Connecticut,69%,1072
Delaware,96%,984
District of Columbia,90%,987
Florida,81%,993
Georgia,41%,1086
Hawaii,26%,1144
Idaho,90%,985
Illinois,80%,1007
Indiana,43%,1095
Iowa,2%,1243
Kansas,2%,1243
Kentucky,2%,1219
Louisiana,3%,1188
Maine,29%,1099
Maryland,47%,1073
Massachusetts,34%,1184
Michigan,68%,1031
Minnesota,2%,1263
Mississippi,1%,1202
Missouri,2%,1219
Montana,5%,1225
Nebraska,2%,1246
Nevada,4%,1195
New Hampshire,71%,1065
New Jersey,48%,1125
New Mexico,30%,996
New York,55%,1057
North Carolina,23%,1150
North Dakota,1%,1258
Ohio,15%,1048
Oklahoma,6%,1042
Oregon,17%,1119
Pennsylvania,39%,1123
Rhode Island,68%,1011
South Carolina,48%,1036
South Dakota,1%,1215
Tennessee,4%,1220
Texas,59%,1003
Utah,1%,1238
Vermont,41%,1124
Virginia,41%,1151
Washington,27%,1072
West Virginia,45%,1007
Wisconsin,1%,1215
Wyoming,2%,1233
